binname	contiglength	mean_read_length	coverage	damage	GC
s02_bin.352	6645	164.2	396.1	0.031	0.634
s02_bin.352	8025	168.4	351.9	0.053	0.640
s02_bin.352	9733	167.5	365.1	0.026	0.610
s02_bin.352	4585	168	437.9	0.021	0.598
s02_bin.352	7533	160.3	465.7	0.014	0.615
s02_bin.352	9533	167.8	396.2	0.03	0.622
s02_bin.352	8875	166.2	424.2	0.027	0.605
s02_bin.352	5802	161.4	504.9	0.014	0.615
s02_bin.352	9325	166.9	411	0.035	0.595
s02_bin.352	4178	168.1	363.7	0.024	0.630
s02_bin.352	6342	165.2	344.7	0.039	0.643
s02_bin.352	10610	161.5	436.6	0.025	0.621
s02_bin.352	2514	166.5	329.9	0.049	0.607
s02_bin.352	11575	166.7	335.1	0.04	0.635
s02_bin.352	3445	163.8	290.7	0.039	0.641
s02_bin.352	4632	164.2	308.4	0.032	0.659
s02_bin.352	3647	164.2	285.4	0.019	0.600
s02_bin.352	2505	166.6	383.1	0.038	0.600
s02_bin.352	9603	164.1	406.1	0.03	0.609
s02_bin.352	8586	164.3	365.1	0.015	0.629
s02_bin.352	2660	162.5	306.7	0.023	0.633
s02_bin.352	15283	166.7	374.5	0.051	0.630
s02_bin.352	10187	167.5	410.1	0.038	0.606
s02_bin.352	6636	166.7	327.4	0.027	0.619
s02_bin.352	5109	155.7	606.7	0.012	0.611
s02_bin.352	11286	165.3	417.5	0.032	0.616
s02_bin.352	10208	166.6	358.4	0.048	0.643
s02_bin.352	9437	165.8	330.7	0.038	0.632
s02_bin.352	13130	167.2	323.4	0.025	0.650
s02_bin.352	2633	161.6	290.4	0.057	0.639
s02_bin.352	5584	164.4	297.5	0.025	0.628
s02_bin.352	9217	166.2	397.9	0.043	0.631
s02_bin.352	9707	166.1	394.8	0.034	0.630
s02_bin.352	6297	167.6	382.3	0.031	0.639
s02_bin.352	5844	166.9	401.9	0.026	0.620
s02_bin.352	11656	168.4	398	0.035	0.631
s02_bin.352	14116	158.7	440.9	0.025	0.592
s02_bin.352	2912	162.1	330	0.045	0.614
s02_bin.352	28651	167.3	332.5	0.025	0.629
s02_bin.352	3153	165.5	326.7	0.019	0.645
s02_bin.352	12154	165.8	401.4	0.034	0.636
s02_bin.352	4549	162.2	347.3	0.026	0.630
s02_bin.352	3069	164	324.6	0.034	0.650
s02_bin.352	3801	162.6	427.9	0.023	0.599
s02_bin.352	11950	167.8	354.8	0.033	0.610
s02_bin.352	6484	163.7	323.5	0.021	0.644
s02_bin.352	8770	166.2	334	0.036	0.606
s02_bin.352	12799	164.9	363.4	0.035	0.601
s02_bin.352	4667	164.9	353.8	0.033	0.622
s02_bin.352	5073	163.3	355	0.039	0.615
s02_bin.352	2955	166.4	396.8	0.04	0.639
s02_bin.352	16296	165.7	358.6	0.022	0.622
s02_bin.352	11231	166	346.7	0.04	0.623
s02_bin.352	3547	158.6	436.4	0.025	0.605
s02_bin.352	2891	162.8	340.5	0.039	0.659
s02_bin.352	13217	166.1	373	0.027	0.638
s02_bin.352	6201	162	367.8	0.017	0.637
s02_bin.352	3113	165.7	407.5	0.029	0.631
s02_bin.352	27329	168.1	331.6	0.035	0.624
s02_bin.352	12163	166.1	389.9	0.033	0.646
s02_bin.352	6640	165.6	402.5	0.043	0.606
s02_bin.352	6229	164.4	436.5	0.019	0.595
s02_bin.352	4079	168.9	314.9	0.026	0.640
s02_bin.352	5899	165	335.1	0.032	0.600
s02_bin.352	15506	166.5	339.9	0.039	0.654
s02_bin.352	12014	167.1	332.6	0.038	0.625
s02_bin.352	4314	166.2	296.8	0.021	0.646
s02_bin.352	5950	164.3	410.4	0.026	0.615
s02_bin.352	14039	167.9	390.5	0.028	0.627
s02_bin.352	19112	166.1	338.1	0.023	0.628
s02_bin.352	4480	167.6	327.6	0.035	0.619
s02_bin.352	7543	164	381.8	0.019	0.604
s02_bin.352	14499	168.4	347.4	0.028	0.623
s02_bin.352	6405	157.3	412.1	0.016	0.592
s02_bin.352	8716	163.6	351.5	0.023	0.624
s02_bin.352	3612	166.6	399.2	0.025	0.598
s02_bin.352	3764	163.4	314	0.032	0.641
s02_bin.352	4041	165.6	383.1	0.053	0.627
s02_bin.352	4170	167	424.7	0.031	0.618
s02_bin.352	4169	164.5	406.2	0.018	0.641
s02_bin.352	12916	166.8	353.4	0.044	0.641
s02_bin.352	2824	160.9	390.3	0.029	0.634
s02_bin.352	4021	167.2	382.3	0.031	0.608
s02_bin.352	6234	166.9	368.2	0.046	0.635
s02_bin.352	17414	165.7	361.6	0.038	0.649
s02_bin.352	7165	165.5	377	0.037	0.628
s02_bin.352	20220	167.5	351.9	0.029	0.622
s02_bin.352	7298	161.2	387.6	0.038	0.617
s02_bin.352	8800	167.6	337.7	0.037	0.613
s02_bin.352	3489	165.2	340	0.033	0.615
s02_bin.352	2566	164.1	395.3	0.041	0.608
s02_bin.352	13884	162.2	404.2	0.025	0.599
s02_bin.352	8381	164	389.9	0.032	0.624
s02_bin.352	13165	163.6	385.3	0.028	0.632
s02_bin.352	14216	166.7	350.2	0.024	0.642
s02_bin.352	6782	165.3	299.4	0.026	0.634
s02_bin.352	9028	167.2	362.8	0.04	0.637
s02_bin.352	7325	166.8	402.2	0.041	0.630
s02_bin.352	17141	166.6	390.2	0.055	0.642
s02_bin.352	7389	167.4	363.9	0.036	0.636
s02_bin.352	9965	167.5	404	0.056	0.636
s02_bin.352	5964	166.6	325.8	0.04	0.636
s02_bin.352	8203	167.7	401.3	0.057	0.628
s02_bin.352	5471	164.9	353.5	0.041	0.629
s02_bin.352	3814	161.5	318.7	0.027	0.642
s02_bin.352	4069	163.6	411.7	0.03	0.589
s02_bin.352	5185	166.5	352.1	0.032	0.623
s02_bin.352	3536	162.6	371.6	0.028	0.617
s02_bin.352	15798	165.1	383.5	0.022	0.619
s02_bin.352	4495	167.8	348.3	0.018	0.620
s02_bin.352	5129	166.7	365.3	0.032	0.608
s02_bin.352	8198	166.1	410.1	0.05	0.620
s02_bin.352	2769	159.9	341.7	0.031	0.629
s02_bin.352	13436	165	337.2	0.041	0.622
s02_bin.352	7955	163.4	388.7	0.038	0.622
s02_bin.352	4889	167.8	398	0.029	0.649
s02_bin.352	5441	165.7	336.7	0.053	0.623
s02_bin.352	7459	161.8	377.7	0.029	0.638
s02_bin.352	8874	165.9	305.6	0.029	0.637
s02_bin.352	17511	163.3	441.8	0.025	0.618
s02_bin.352	4723	162.8	333.4	0.039	0.648
s02_bin.352	4041	164.8	377.6	0.014	0.632
s02_bin.352	2544	164.4	320.9	0.041	0.648
s02_bin.352	11267	165.5	334.3	0.026	0.637
s02_bin.352	4400	165	387.9	0.042	0.638
s02_bin.352	2500	166.2	355.7	0.024	0.628
s02_bin.352	5824	159.6	380.8	0.049	0.615
s02_bin.352	3553	163.2	398.9	0.02	0.599
s02_bin.352	3003	162.4	398.9	0.033	0.637
s02_bin.352	2889	165.4	353.5	0.065	0.653
s02_bin.352	4245	164.8	359.3	0.045	0.623
s02_bin.352	2556	167	419.1	0.039	0.598
s02_bin.352	6157	166.3	346.3	0.036	0.658
s02_bin.352	7001	165.7	346.5	0.019	0.620
s02_bin.352	14614	164.6	368.1	0.027	0.609
s02_bin.352	9057	163.5	421.3	0.02	0.626
s02_bin.352	6572	167.1	356.8	0.032	0.637
s02_bin.352	2600	159.8	188.4	0.023	0.620
s02_bin.352	2858	165	387.4	0.027	0.588
s02_bin.352	9203	168.3	378.4	0.03	0.648
s02_bin.352	8616	169.5	340.7	0.031	0.619
s02_bin.352	28472	162.6	410.5	0.068	0.621
s02_bin.352	12967	161.9	418.5	0.019	0.608
s02_bin.352	7366	166	319.2	0.04	0.631
s02_bin.352	10883	164.9	371.4	0.039	0.645
s02_bin.352	6947	168.8	391.7	0.051	0.607
s02_bin.82	49365	158.2	101.3	0.016	0.389
s02_bin.82	20900	159.5	86.9	0.009	0.390
s02_bin.82	66783	166.3	83.3	0.071	0.388
s02_bin.82	42444	164.1	84.7	0.034	0.407
s02_bin.82	55116	165.5	92.5	0.056	0.394
s02_bin.82	5117	161.4	90.7	0.138	0.360
s02_bin.82	79957	164.7	96.9	0.036	0.396
s02_bin.82	29301	162.5	93.4	0.019	0.391
s02_bin.82	100602	163.6	80.4	0.041	0.388
s02_bin.82	3718	181.4	109.3	0.055	0.394
s02_bin.82	13338	160.8	89.2	0.063	0.400
s02_bin.82	56006	146.1	139.6	0.034	0.389
s02_bin.82	62091	164	89.7	0.032	0.402
s02_bin.82	145350	166.9	94.2	0.076	0.382
s02_bin.82	13153	164.1	92.6	0.027	0.363
s02_bin.82	39213	164	89.3	0.046	0.411
s02_bin.82	41092	167.4	86.5	0.048	0.370
s02_bin.82	3267	158.7	127.3	0.023	0.361
s02_bin.82	40235	162.9	83.1	0.042	0.390
s02_bin.82	58635	167.2	86.1	0.083	0.382
s02_bin.82	11185	160.2	110.6	0.032	0.377
s02_bin.82	12889	155.2	103.8	0.018	0.401
s02_bin.82	149824	165.7	76.8	0.052	0.388
s02_bin.82	19009	167	88.9	0.051	0.398
s02_bin.82	32988	164.4	91.7	0.019	0.379
s02_bin.82	122452	167.3	79	0.055	0.389
s02_bin.82	48995	164.8	88.7	0.043	0.394
s02_bin.82	27193	165.7	89.2	0.053	0.400
s02_bin.82	26941	160.3	92.2	0.029	0.391
s02_bin.82	224072	166.1	78.4	0.064	0.389
s02_bin.82	52534	163.3	94	0.027	0.405
s02_bin.82	7582	149	106.7	0.022	0.391
s02_bin.82	36820	169.3	96.3	0.07	0.377
s02_bin.82	93826	166.5	99.4	0.042	0.368
s02_bin.82	23918	167.1	78.1	0.053	0.378
s02_bin.82	230935	166.9	76.4	0.055	0.385
s02_bin.82	128189	165	87	0.054	0.395
s02_bin.82	114226	167.6	81.8	0.071	0.387
s02_bin.82	43063	169.5	89	0.06	0.373
s02_bin.82	45127	166.2	101.3	0.068	0.357
s02_bin.82	23475	163.4	90.7	0.021	0.415
Lib3_9_bin.69	15289	136.4	46	0.009	0.484
Lib3_9_bin.69	4740	131.5	40.3	0	0.505
Lib3_9_bin.69	10751	137.2	54.4	0.066	0.419
Lib3_9_bin.69	6868	137.2	45.4	0.024	0.474
Lib3_9_bin.69	7518	139.7	36.5	0	0.490
Lib3_9_bin.69	8391	135.8	41.8	0.1	0.471
Lib3_9_bin.69	4655	137.2	52.8	0.091	0.477
Lib3_9_bin.69	5177	134.1	39.3	0.061	0.494
Lib3_9_bin.69	5261	137.5	42.4	0.135	0.513
Lib3_9_bin.69	5098	135	48.5	0	0.507
Lib3_9_bin.69	5554	128.7	43.9	0.145	0.479
Lib3_9_bin.69	4625	132.2	41.7	0.1	0.494
Lib3_9_bin.69	4956	132.3	39.6	0.024	0.499
Lib3_9_bin.69	16895	135.7	45.9	0.068	0.467
Lib3_9_bin.69	3715	130.6	53.4	0.081	0.439
Lib3_9_bin.69	15705	135.7	49.2	0.086	0.487
Lib3_9_bin.69	3729	133	50.5	0.02	0.445
Lib3_9_bin.69	3109	135.3	46.7	0	0.483
Lib3_9_bin.69	14136	134.4	57.5	0.145	0.427
Lib3_9_bin.69	3232	135.4	46.7	0.341	0.505
Lib3_9_bin.69	4319	133.2	39	0	0.493
Lib3_9_bin.69	15148	135.7	43.8	0.052	0.499
Lib3_9_bin.69	14073	138.5	47.5	0	0.503
Lib3_9_bin.69	3238	142.6	47.7	0	0.505
Lib3_9_bin.69	5158	132.6	37.9	0.088	0.477
Lib3_9_bin.69	6167	133.8	36.6	0	0.533
Lib3_9_bin.69	4989	136.5	53.1	0	0.436
Lib3_9_bin.69	19570	136.7	50.2	0.01	0.457
Lib3_9_bin.69	5805	135.1	42.7	0	0.499
Lib3_9_bin.69	9412	137.1	56.6	0.025	0.461
Lib3_9_bin.69	4320	129.5	45.6	0.064	0.481
Lib3_9_bin.69	3846	131.8	35.3	0	0.500
Lib3_9_bin.69	5221	141.2	42.1	0.075	0.473
Lib3_9_bin.69	6771	137.3	42.3	0.045	0.516
Lib3_9_bin.69	5711	134	48.6	0.1	0.467
Lib3_9_bin.69	11337	134.4	48	0.089	0.456
Lib3_9_bin.69	6735	141.9	40.3	0.069	0.502
Lib3_9_bin.69	3203	136.2	53.7	0	0.466
Lib3_9_bin.69	18171	135.8	48.8	0.068	0.490
Lib3_9_bin.69	8158	134.5	46.1	0.123	0.503
Lib3_9_bin.69	4833	136.6	41.4	0	0.477
Lib3_9_bin.69	8962	135.7	38.8	0	0.500
Lib3_9_bin.69	8866	137	50.8	0.012	0.478
Lib3_9_bin.69	5351	137	45.5	0	0.484
Lib3_9_bin.69	5840	132.8	41.3	0.026	0.508
Lib3_9_bin.69	4389	138.7	46.7	0.108	0.486
Lib3_9_bin.69	4142	134	39.8	0	0.478
Lib3_9_bin.69	56205	134.5	57.5	0.112	0.435
Lib3_9_bin.69	13819	138.3	49.2	0.132	0.499
Lib3_9_bin.69	5703	132	47.1	0	0.473
Lib3_9_bin.69	4633	148.3	45.2	0.064	0.474
Lib3_9_bin.69	3257	137.4	51.6	0.098	0.474
Lib3_9_bin.69	9983	136.6	50.7	0.039	0.466
Lib3_9_bin.69	3570	129.4	37	0.045	0.516
Lib3_9_bin.69	3472	135	47.3	0	0.478
Lib3_9_bin.69	4740	140.7	47.6	0.031	0.500
Lib3_9_bin.69	13858	136.4	54.8	0.017	0.453
Lib3_9_bin.69	6933	134.8	59.8	0.019	0.418
Lib3_9_bin.69	29778	135.7	56.5	0.017	0.443
Lib3_9_bin.69	4655	131.2	44.7	0	0.515
Lib3_9_bin.69	6376	134.6	54.3	0.017	0.441
Lib3_9_bin.69	4270	138.1	49.3	0.081	0.463
Lib3_9_bin.69	2802	136.7	41.5	0.385	0.498
Lib3_9_bin.69	6298	135.8	47.9	0.019	0.458
Lib3_9_bin.69	3663	125.8	51.8	0	0.496
Lib3_9_bin.69	5262	137.5	50.5	0.062	0.460
Lib3_9_bin.69	7578	131.8	37.4	0.093	0.490
Lib3_9_bin.69	3882	136.8	47.6	0	0.460
Lib3_9_bin.69	6978	136.7	39.3	0.145	0.479
Lib3_9_bin.69	7433	131.9	46.3	0	0.482
Lib3_9_bin.69	9203	134.8	44.6	0.009	0.472
Lib3_9_bin.69	4911	131.1	45.3	0.146	0.479
Lib3_9_bin.69	5971	129.5	47.6	0.078	0.508
Lib3_9_bin.69	6402	137.3	43.4	0.04	0.486
Lib3_9_bin.69	7592	133.7	54.1	0.023	0.495
Lib3_9_bin.69	8231	135.5	42.3	0.072	0.497
Lib3_9_bin.69	17222	137.3	55.4	0.018	0.429
Lib3_9_bin.69	11829	133.6	51.2	0.04	0.467
Lib3_9_bin.69	3375	126.9	57	0	0.434
Lib3_9_bin.69	14138	136.8	52	0.026	0.457
Lib3_9_bin.69	11473	132.1	85.4	0.017	0.463
Lib3_9_bin.69	2676	134.5	38.2	0	0.479
Lib3_9_bin.69	4169	133.9	51.1	0.03	0.456
Lib3_9_bin.69	18098	134.3	49.8	0.052	0.481
Lib3_9_bin.69	3005	140.2	50.2	0	0.477
Lib3_9_bin.69	5602	131	49.2	0.007	0.448
Lib3_9_bin.69	10668	133.4	42.8	0.046	0.493
Lib3_9_bin.69	2682	130	47.8	0	0.498
Lib3_9_bin.69	6758	131.8	57	0.015	0.486
Lib3_9_bin.69	3616	136.7	46.7	0.015	0.479
Lib3_9_bin.69	14582	135.1	53.5	0.209	0.437
Lib3_9_bin.69	6971	135.2	46.5	0	0.446
Lib3_9_bin.69	16055	135.9	38.9	0.11	0.496
Lib3_9_bin.69	4086	128.4	44	0	0.435
Lib3_9_bin.69	9844	137.3	47.6	0	0.479
Lib3_9_bin.69	7982	137.3	48.3	0	0.486
Lib3_9_bin.69	5497	132.3	44.1	0.006	0.501
Lib3_9_bin.69	6980	133.7	40.1	0.065	0.490
Lib3_9_bin.69	7715	138.6	44.5	0.077	0.523
Lib3_9_bin.69	19073	136	46.2	0.006	0.464
Lib3_9_bin.69	8178	136.7	55.2	0.027	0.442
Lib3_9_bin.69	13798	135.4	45.6	0.055	0.506
Lib3_9_bin.69	5316	132.7	45.8	0	0.491
Lib3_9_bin.69	3253	134.2	46.7	0	0.461
Lib3_9_bin.69	6383	132.6	54.9	0.119	0.441
Lib3_9_bin.69	2826	136.4	40.4	0	0.471
Lib3_9_bin.69	7037	132	70.9	0.016	0.445
Lib3_9_bin.69	6017	132.9	49.3	0	0.474
Lib3_9_bin.69	9822	132.9	50.1	0.011	0.484
Lib3_9_bin.69	2549	131.8	34.5	0	0.459
Lib3_9_bin.69	5292	133.3	49.9	0.121	0.419
Lib3_9_bin.69	9417	137.8	44.8	0	0.474
Lib3_9_bin.69	3226	129.9	36.2	0	0.490
Lib3_9_bin.69	27833	135.7	51.7	0.047	0.446
Lib3_9_bin.69	13472	132.2	54.5	0.052	0.463
Lib3_9_bin.69	9524	137.9	47.6	0.068	0.469
Lib3_9_bin.69	2826	132.3	44.7	0	0.475
Lib3_9_bin.69	7066	134	47.2	0.038	0.480
Lib3_9_bin.69	8645	132.9	62.5	0.105	0.459
Lib3_9_bin.69	4160	136.8	50.4	0	0.469
Lib3_9_bin.69	3120	138.8	53.9	0.074	0.470
Lib3_9_bin.69	3981	142.6	41.6	0.094	0.489
Lib3_9_bin.69	6280	134.2	63.7	0.025	0.420
Lib3_9_bin.69	5812	135.4	49.5	0.014	0.473
Lib3_9_bin.69	3647	136.2	44.8	0	0.471
Lib3_9_bin.69	2734	128.7	38.5	0	0.493
Lib3_9_bin.69	2989	124.4	36.3	0.3	0.517
Lib3_9_bin.69	9105	136.4	51.2	0	0.434
Lib3_9_bin.69	7683	134.2	51.4	0.058	0.426
Lib3_9_bin.69	9953	136	50.6	0.2	0.499
Lib3_9_bin.69	11185	137.8	47.8	0.043	0.515
Lib3_9_bin.69	25537	135	46.8	0.07	0.497
Lib3_9_bin.69	7279	130.5	38.1	0.04	0.502
Lib3_9_bin.69	7148	135.4	50.1	0.004	0.502
Lib3_9_bin.69	4950	132.9	51.3	0.159	0.464
Lib3_9_bin.69	9096	130.4	44.4	0.032	0.461
Lib3_9_bin.69	5523	127.2	40.8	0	0.468
Lib3_9_bin.69	5227	134.5	45.1	0.032	0.494
Lib3_9_bin.69	4547	131.7	41.4	0.032	0.462
Lib3_9_bin.69	5559	136.6	48.3	0.119	0.455
Lib3_9_bin.69	14906	135.4	46	0.056	0.476
Lib3_9_bin.69	2895	138.3	46.7	0.04	0.463
Lib3_9_bin.69	10738	137.5	46.9	0.049	0.468
Lib3_9_bin.69	9794	135.1	53.5	0.019	0.464
Lib3_9_bin.69	5054	138.1	39.4	0.299	0.517
Lib3_9_bin.69	7210	135.5	49.3	0.024	0.487
Lib3_9_bin.69	6084	130.3	51.7	0.016	0.477
Lib3_9_bin.69	3983	136.9	55.2	0	0.470
Lib3_9_bin.69	10153	138.6	51.1	0.076	0.477
Lib3_9_bin.69	6717	134.8	46.7	0	0.459
Lib3_9_bin.69	3521	133.8	55	0	0.474
Lib3_9_bin.69	3347	142	47.2	0	0.425
Lib3_9_bin.69	7945	134.4	59.7	0.143	0.426
Lib3_9_bin.69	5661	136.3	48.1	0.023	0.494
Lib3_9_bin.69	7887	132.8	46.9	0	0.489
Lib3_9_bin.69	9336	138.8	50.5	0.019	0.444
Lib3_9_bin.69	7221	137.4	52.6	0.06	0.454
Lib3_9_bin.69	4079	136.7	43.2	0.162	0.499
Lib3_9_bin.69	5407	134.5	61.4	0.037	0.424
Lib3_9_bin.69	9213	133.8	47.3	0	0.494
Lib3_9_bin.69	5013	130.9	39.1	0	0.504
Lib3_9_bin.69	8470	134.3	49.8	0.048	0.489
Lib3_9_bin.69	11206	137.8	64.3	0.017	0.461
Lib3_9_bin.69	7219	136.2	55	0	0.448
Lib3_9_bin.69	16554	131.5	47.7	0.052	0.483
Lib3_9_bin.69	11405	134.6	49.3	0	0.457
Lib3_9_bin.69	4237	132.7	46.1	0	0.468
Lib3_9_bin.69	3826	135.8	40.7	0	0.505
Lib3_9_bin.69	17369	136.1	54.7	0.045	0.421
Lib3_9_bin.69	15842	132.3	53.4	0.115	0.444
Lib3_9_bin.69	5183	141.6	39.5	0	0.488
Lib3_9_bin.69	13573	135.7	51.8	0.04	0.482
Lib3_9_bin.69	20025	136.4	58.2	0.087	0.427
Lib3_9_bin.69	3687	134.3	42.7	0.1	0.476
Lib3_9_bin.69	10190	138.1	52	0.12	0.470
Lib3_9_bin.69	21309	139.1	59.3	0.027	0.425
Lib3_9_bin.69	8005	135.6	36.9	0.019	0.506
Lib3_9_bin.69	8803	138.5	49.6	0.067	0.460
Lib3_9_bin.69	6845	135.8	42.4	0.009	0.489
Lib3_9_bin.69	2910	131	46.4	0	0.463
Lib3_9_bin.69	5417	137.4	36.6	0.2	0.499
Lib3_9_bin.69	3023	143.4	40.6	0.105	0.501
Lib3_9_bin.69	6888	128.5	48.2	0.02	0.474
Lib3_9_bin.69	10931	134.8	54.6	0.069	0.441
Lib3_9_bin.69	8489	136.9	44.6	0.013	0.513
Lib3_9_bin.69	26341	136.4	47.9	0.076	0.466
Lib3_9_bin.69	5596	132	41.2	0.195	0.485
Lib3_9_bin.69	26899	134.3	60	0.052	0.426
Lib3_9_bin.69	15081	135.4	49.3	0.013	0.478
Lib3_9_bin.69	6049	129.1	47.9	0.078	0.446
Lib3_9_bin.69	9947	131.4	52.2	0	0.491
Lib3_9_bin.69	3320	132.6	44.8	0	0.490
Lib3_9_bin.69	2893	132.7	51.3	0.029	0.447
Lib3_9_bin.69	7738	137.1	48.2	0.035	0.481
Lib3_9_bin.69	10763	132.3	48.9	0.132	0.448
Lib3_9_bin.69	4065	132	48.1	0.059	0.486
Lib3_9_bin.69	20736	134.9	40.9	0	0.508
Lib3_9_bin.69	22298	139	49.7	0.006	0.428
Lib3_9_bin.69	12049	133.1	50.1	0.026	0.460
Lib3_9_bin.69	5232	136.1	48.8	0.062	0.477
Lib3_9_bin.69	10946	134.7	43.3	0.026	0.498
Lib3_9_bin.69	4982	130.2	80.9	0.025	0.459
Lib3_9_bin.69	8010	135.2	56.2	0.021	0.477
Lib3_9_bin.69	5376	134.9	52	0	0.486
Lib3_9_bin.69	9506	135.8	41.2	0.057	0.477
Lib3_9_bin.69	5325	139.5	48	0.081	0.492
Lib3_9_bin.69	3095	132.9	42.1	0	0.511
Lib3_9_bin.69	10943	138.8	46.2	0.021	0.484
Lib3_9_bin.69	10643	134.3	62.1	0.096	0.480
Lib3_9_bin.69	2746	126.1	34.2	0	0.490
Lib3_9_bin.69	5963	131.3	52.8	0.056	0.472
Lib3_9_bin.69	3806	138.2	63.4	0.028	0.431
Lib3_9_bin.69	6165	137.2	56.8	0.025	0.432
Lib3_9_bin.69	4415	131.8	48.9	0.125	0.486
Lib3_9_bin.69	3143	131.4	45.1	0	0.468
Lib3_9_bin.69	6651	138	44.5	0.012	0.480
Lib3_9_bin.69	5813	129.7	47.7	0	0.460
Lib3_9_bin.69	5664	126.9	49.9	0.03	0.445
Lib3_9_bin.69	5935	134.2	53.7	0.047	0.443
Lib3_9_bin.69	12129	134.9	50.4	0.103	0.468
Lib3_9_bin.69	6080	134.5	59.2	0.015	0.488
Lib3_9_bin.69	6779	136.7	49	0.045	0.475
